season,ht,salary,name,points,position,tall
2015-2016,77,"6,060,606",Marco Belinelli,115,SG,Yes
2015-2016,76,"3,431,040",Marcus Smart,184,PG,No
2015-2016,74,"4,300,000",Mario Chalmers,156,PG,No
2015-2016,80,"3,741,480",Mario Hezonja,178,SG,Yes
2015-2016,82,"8,000,000",Markieff Morris,86,PF,Yes
2015-2016,82,"3,815,000",Marreese Speights,173,C,Yes
2015-2016,79,"5,613,500",Martell Webster,123,SF,Yes
2015-2016,81,"7,000,000",Marvin Williams,99,PF,Yes
2015-2016,83,"1,415,520",Mason Plumlee,295,C,Yes
2015-2016,79,"3,542,500",Matt Barnes,181,SF,Yes
2015-2016,76,"1,147,276",Matthew Dellavedova,327,PG,No
2015-2016,80,"2,894,059",Maurice Harkless,209,SF,Yes
2015-2016,85,"3,075,880",Meyers Leonard,200,PF,Yes
2015-2016,78,"2,399,040",Michael Carter-Williams,236,PG,Yes
2015-2016,79,"6,331,404",Michael Kidd-Gilchrist,110,SF,Yes
2015-2016,73,"9,588,426",Mike Conley,71,PG,No
2015-2016,81,"4,500,000",Mike Dunleavy,151,SG,Yes
2015-2016,80,"3,333,333",Mike Scott,191,PF,Yes
2015-2016,83,"2,109,294",Miles Plumlee,255,C,Yes
2015-2016,81,"5,500,000",Mirza Teletovic,128,PF,Yes
2015-2016,82,"1,463,040",Mitch McGary,292,PF,Yes
2015-2016,73,"2,100,000",Mo Williams,256,PG,No
2015-2016,75,"10,300,000",Monta Ellis,64,SG,No
2015-2016,80,"1,000,000",Montrezl Harrell,348,PF,Yes
2015-2016,83,"2,357,760",Myles Turner,239,PF,Yes
2015-2016,82,"3,950,001",Nemanja Bjelica,171,PF,Yes
2015-2016,83,"13,000,000",Nene Hilario,43,C,Yes
2015-2016,83,"3,457,800",Nerlens Noel,183,PF,Yes
2015-2016,82,"3,750,000",Nick Collison,176,PF,Yes
2015-2016,79,"5,219,169",Nick Young,132,SF,Yes
2015-2016,80,"13,125,306",Nicolas Batum,42,SG,Yes
2015-2016,78,"2,869,440",Nik Stauskas,211,SG,Yes
2015-2016,84,"1,300,000",Nikola Jokic,304,C,Yes
2015-2016,82,"5,543,725",Nikola Mirotic,126,PF,Yes
2015-2016,83,"12,100,000",Nikola Pekovic,50,C,Yes
2015-2016,84,"11,250,000",Nikola Vucevic,56,C,Yes
2015-2016,81,"2,637,720",Noah Vonleh,224,PF,Yes
2015-2016,76,"650,000",Norman Powell,380,SG,No
2015-2016,74,"3,036,927",Norris Cole,201,PG,No
2015-2016,76,"8,000,000",O.J. Mayo,87,SG,No
2015-2016,84,"9,213,483",Omer Asik,75,C,Yes
2015-2016,81,"2,836,186",Omri Casspi,218,SF,Yes
2015-2016,77,"55,722",Orlando Johnson,413,SG,Yes
2015-2016,80,"4,662,960",Otto Porter Jr.,146,SF,Yes
2015-2016,77,"1,201,440",P.J. Hairston,314,SF,Yes
2015-2016,77,"5,500,000",P.J. Tucker,127,SF,Yes
2015-2016,75,"947,726",Pablo Prigioni,355,PG,No
2015-2016,77,"625,093",Pat Connaughton,381,SG,Yes
2015-2016,73,"6,486,486",Patrick Beverley,109,PG,No
2015-2016,81,"6,268,675",Patrick Patterson,113,PF,Yes
2015-2016,72,"3,578,947",Patty Mills,179,PG,No
2015-2016,84,"7,448,760",Pau Gasol,94,C,Yes
2015-2016,81,"17,120,106",Paul George,15,SF,Yes
2015-2016,80,"18,671,659",Paul Millsap,14,PF,Yes
2015-2016,79,"3,376,000",Paul Pierce,189,SF,Yes
2015-2016,83,"2,038,206",Perry Jones,261,SF,Yes
2015-2016,71,"55,722",Phil Pressey,411,PG,No
2015-2016,82,"981,348",Quincy Miller,351,SF,Yes
2015-2016,78,"3,382,023",Quincy Pondexter,188,SF,Yes
2015-2016,77,"1,148,640",R.J. Hunter,326,SG,Yes
2015-2016,73,"9,500,000",Rajon Rondo,72,PG,No
2015-2016,81,"1,007,026",Rakeem Christmas,344,PF,Yes
2015-2016,75,"2,170,465",Ramon Sessions,246,PG,No
2015-2016,76,"3,135,000",Randy Foye,196,SG,No
2015-2016,78,"1,733,040",Rashad Vaughn,274,SG,Yes
2015-2016,79,"947,276",Rasual Butler,360,SF,Yes
2015-2016,73,"900,000",Raul Neto,366,PG,No
2015-2016,73,"3,950,313",Raymond Felton,170,PG,No
2015-2016,79,"1,252,440",Reggie Bullock,310,SF,Yes
2015-2016,72,"13,913,044",Reggie Jackson,35,PG,No
2015-2016,78,"1,185,784",Reggie Williams,316,SF,Yes
2015-2016,80,"1,074,169",Richaun Holmes,338,PF,Yes
2015-2016,76,"12,700,000",Ricky Rubio,45,PG,No
2015-2016,81,"1,000,000",Robert Covington,347,SF,Yes
2015-2016,84,"981,348",Robert Sacre,352,C,Yes
2015-2016,84,"12,650,000",Robin Lopez,46,C,Yes
2015-2016,79,"1,348,440",Rodney Hood,300,SG,Yes
2015-2016,77,"7,000,000",Rodney Stuckey,102,PG,Yes
2015-2016,80,"525,093",Ronald Roberts Jr.,388,PF,Yes
2015-2016,79,"1,335,480",Rondae Hollis-Jefferson,301,SG,Yes
2015-2016,86,"15,592,217",Roy Hibbert,25,C,Yes
2015-2016,80,"12,403,101",Rudy Gay,48,SF,Yes
2015-2016,85,"1,175,880",Rudy Gobert,318,C,Yes
2015-2016,72,"845,059",Russ Smith,374,PG,No
2015-2016,75,"16,744,218",Russell Westbrook,16,PG,No
2015-2016,82,"8,500,000",Ryan Anderson,79,PF,Yes
2015-2016,84,"239,605",Ryan Hollins,404,C,Yes
2015-2016,83,"1,724,250",Ryan Kelly,275,PF,Yes
2015-2016,79,"1,646,400",Sam Dekker,279,SF,Yes
2015-2016,83,"1,276,000",Sasha Kaun,307,C,Yes
2015-2016,76,"99,418",Sean Kilpatrick,409,SG,No
2015-2016,82,"12,250,000",Serge Ibaka,49,PF,Yes
2015-2016,80,"1,599,840",Sergey Karasev,282,SG,Yes
2015-2016,78,"2,056,920",Shabazz Muhammad,258,SF,Yes
2015-2016,73,"1,294,440",Shabazz Napier,305,PG,No
2015-2016,71,"1,500,000",Shane Larkin,288,PG,No
2015-2016,73,"525,093",Shannon Scott,389,PG,No
2015-2016,79,"5,543,725",Shaun Livingston,124,PG,Yes
2015-2016,75,"2,433,333",Shelvin Mack,235,PG,No
2015-2016,79,"1,358,880",Solomon Hill,299,SF,Yes
2015-2016,85,"6,110,034",Spencer Hawes,114,PF,Yes
2015-2016,79,"2,841,960",Stanley Johnson,216,SF,Yes
2015-2016,75,"11,370,786",Stephen Curry,55,PG,No
2015-2016,75,"2,170,465",Steve Blake,248,PG,No
2015-2016,82,"295,327",Steve Novak,397,SF,Yes
2015-2016,84,"2,279,040",Steven Adams,242,C,Yes
2015-2016,80,"2,041,080",T.J. Warren,260,SF,Yes
2015-2016,78,"525,093",Terran Petteway,395,SG,Yes
2015-2016,81,"2,489,530",Terrence Jones,233,PF,Yes
2015-2016,78,"3,553,917",Terrence Ross,180,SF,Yes
2015-2016,77,"845,059",Terrico White,370,SG,Yes
2015-2016,73,"1,824,360",Terry Rozier,271,PG,No
2015-2016,79,"4,000,000",Thabo Sefolosha,169,SF,Yes
2015-2016,80,"11,235,955",Thaddeus Young,57,PF,Yes
2015-2016,79,"30,888",Thanasis Antetokounmpo,416,SF,Yes
2015-2016,83,"9,756,250",Tiago Splitter,69,C,Yes
2015-2016,86,"2,900,000",Tibor Pleiss,208,C,Yes
2015-2016,83,"5,250,000",Tim Duncan,131,C,Yes
2015-2016,78,"1,304,520",Tim Hardaway Jr.,303,SG,Yes
2015-2016,85,"4,950,000",Timofey Mozgov,144,C,Yes
2015-2016,80,"16,000,000",Tobias Harris,21,SF,Yes
2015-2016,74,"1,164,858",Toney Douglas,320,PG,No
2015-2016,76,"5,158,539",Tony Allen,135,SG,No
2015-2016,74,"13,437,500",Tony Parker,40,PG,No
2015-2016,79,"1,535,880",Tony Snell,285,SF,Yes
2015-2016,77,"2,179,353",Tony Wroten,245,SG,Yes
2015-2016,77,"525,093",Treveon Graham,390,SG,Yes
2015-2016,80,"8,193,030",Trevor Ariza,83,SF,Yes
2015-2016,80,"4,775,000",Trevor Booker,145,PF,Yes
2015-2016,72,"2,658,240",Trey Burke,223,PG,No
2015-2016,82,"2,239,800",Trey Lyles,244,PF,Yes
2015-2016,81,"14,260,870",Tristan Thompson,33,C,Yes
2015-2016,76,"947,276",Troy Daniels,356,SG,No
2015-2016,71,"12,404,495",Ty Lawson,47,PG,No
2015-2016,69,"1,662,360",Tyler Ennis,278,PG,No
2015-2016,81,"947,276",Tyler Hansbrough,358,PF,Yes
2015-2016,76,"845,059",Tyler Johnson,369,SG,No
2015-2016,84,"2,616,975",Tyler Zeller,225,C,Yes
2015-2016,78,"10,734,586",Tyreke Evans,60,SG,Yes
2015-2016,85,"13,000,000",Tyson Chandler,44,C,Yes
2015-2016,73,"1,282,080",Tyus Jones,306,PG,No
2015-2016,80,"2,854,940",Udonis Haslem,212,PF,Yes
2015-2016,76,"5,192,520",Victor Oladipo,134,SG,No
2015-2016,78,"4,088,019",Vince Carter,163,SG,Yes
2015-2016,87,"1,000,000",Walter Tavares,349,C,Yes
2015-2016,76,"1,500,000",Wayne Ellington,289,SG,No
2015-2016,79,"1,100,602",Wesley Johnson,334,SF,Yes
2015-2016,77,"3,533,333",Will Barton,182,SF,Yes
2015-2016,84,"3,398,280",Willie Cauley-Stein,187,C,Yes
2015-2016,81,"10,449,438",Wilson Chandler,63,SF,Yes
2015-2016,77,"2,148,360",Zach LaVine,250,PG,Yes
2015-2016,81,"9,638,555",Zach Randolph,70,PF,Yes
2015-2016,83,"5,200,000",Zaza Pachulia,133,C,Yes
2015-2016,77,"1,706,225",Zoran Dragic,277,SG,Yes
