PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARYMILL,PAGEVIEWS,FAVORITE,RETWEET
Corey Brewer,SF,30,15.6,1.8,4.2,0.422,0.3,1.4,0.229,1.5,2.8,0.522,0.6,0.8,0.735,0.4,1.6,1.2,0.7,0.2,0.7,1.6,4.5,HOU/LAL,82,15.6,47,7.61,314,51.5,15.5
Marcin Gortat,C,32,31.2,4.8,8.2,0.579,0,0,0,4.8,8.2,0.58,1.3,1.9,0.648,2.9,7.5,1.5,0.5,0.7,1.5,2.6,10.8,WSH,82,31.2,49,12,315,1,1
Cameron Payne,PG,22,14.9,2.1,6.2,0.332,0.9,2.8,0.314,1.2,3.5,0.346,0.2,0.3,0.625,0.1,1.5,1.8,0.5,0.1,0.9,1.7,5.2,CHI/OKC,31,14.9,16,2.11,324.5,38.5,21
Tobias Harris,PF,24,31.3,6.2,13,0.481,1.3,3.8,0.347,4.9,9.1,0.537,2.3,2.8,0.841,0.8,4.3,1.7,0.7,0.5,1.2,1.6,16.1,DET,82,31.3,37,17.2,327,2,4
Al-Farouq Aminu,SF,26,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,1.6,2.2,0.706,1.3,6.1,1.6,1,0.7,1.5,1.7,8.7,POR,61,29.1,33,7.68,330.5,33,9
Sam Dekker,SF,22,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.5,0.9,0.559,1.2,2.5,1,0.5,0.3,0.5,1.1,6.5,HOU,77,18.4,52,1.72,331,139,13
Markieff Morris,PF,27,31.2,5.3,11.7,0.457,0.9,2.6,0.362,4.4,9.1,0.483,2.4,2.8,0.837,1.4,5.1,1.7,1.1,0.6,1.7,3.3,14,WSH,76,31.2,45,7.4,331.5,9,18
Trey Lyles,PF,21,16.3,2.2,6.2,0.362,0.9,2.9,0.319,1.3,3.3,0.4,0.8,1.1,0.722,0.7,2.6,1,0.4,0.3,0.9,1.4,6.2,UTAH,71,16.3,43,2.34,334.5,48,12
Tyler Zeller,C,27,10.3,1.5,3.1,0.494,0,0,0,1.5,3.1,0.497,0.4,0.8,0.564,0.8,1.6,0.8,0.1,0.4,0.4,1.2,3.5,BOS,51,10.3,32,8,336,15,14
Courtney Lee,SG,31,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,1.1,1.3,0.867,0.7,2.7,2.3,1.1,0.3,0.9,1.8,10.8,NY,77,31.9,29,11.24,337.5,2,1
Eric Gordon,SG,28,31,5.5,13.5,0.406,3.3,8.8,0.372,2.2,4.7,0.468,2,2.3,0.84,0.4,2.3,2.5,0.6,0.5,1.6,2,16.2,HOU,75,31,50,12.39,346,55,26
Danilo Gallinari,SF,28,33.9,5.3,11.9,0.447,2,5.1,0.389,3.3,6.8,0.491,5.5,6.1,0.902,0.6,4.5,2.1,0.6,0.2,1.3,1.5,18.2,DEN,63,33.9,31,15.05,350,29,6
Kyle Singler,SF,28,12,1.1,2.6,0.41,0.2,1.2,0.189,0.8,1.4,0.587,0.4,0.5,0.765,0.3,1.3,0.3,0.2,0.2,0.3,0.9,2.8,OKC,32,12,15,4.84,354,9,6
Miles Plumlee,C,28,10.8,1,2,0.478,0,0,,1,2,0.478,0.6,0.9,0.641,0.8,1.3,0.5,0.4,0.3,0.7,1.6,2.5,MIL/CHA,45,10.8,19,12.5,362,11,3
DeMarre Carroll,SF,30,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,1.2,1.6,0.761,0.9,2.9,1,1.1,0.4,0.8,2,8.9,TOR,72,26.1,44,14.2,363.5,29.5,8
Rudy Gobert,C,24,33.9,5.1,7.7,0.661,0,0,0,5.1,7.7,0.662,3.8,5.9,0.653,3.9,8.9,1.2,0.6,2.6,1.8,3,14,UTAH,81,33.9,51,2.12,368.5,731,225.5
Jared Sullinger,PF,24,10.7,1.4,4.3,0.319,0.3,1.6,0.167,1.1,2.6,0.414,0.4,0.7,0.5,0.9,1.5,0.3,0.4,0.1,0.4,1.5,3.4,TOR,11,10.7,2,5.63,368.5,11,2
Jameer Nelson,PG,34,27.3,3.6,8.1,0.444,1.4,3.6,0.388,2.2,4.4,0.489,0.6,0.8,0.714,0.4,2.2,5.1,0.7,0.1,1.7,2.6,9.2,DEN,75,27.3,34,4.54,369,0,9
Jerian Grant,PG,24,16.3,2,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,1,1.2,0.89,0.3,1.5,1.9,0.7,0.1,0.7,1.5,5.9,CHI,63,16.3,29,1.64,371,25,32.5
Nicolas Batum,SG,28,34,5.1,12.7,0.403,1.8,5.3,0.333,3.4,7.4,0.453,3.2,3.7,0.856,0.6,5.6,5.9,1.1,0.4,2.5,1.4,15.1,CHA,77,34,35,20.87,374.5,114.5,66
Cody Zeller,PF,24,27.8,4.1,7.1,0.571,0,0,0,4.1,7.1,0.572,2.1,3.2,0.679,2.2,4.4,1.6,1,0.9,1,3,10.3,CHA,62,27.8,33,5.32,376.5,90,29
Kenneth Faried,PF,27,21.2,3.7,6.8,0.548,0,0.1,0,3.7,6.7,0.556,2.1,3.1,0.693,3,4.6,0.9,0.7,0.7,1,2,9.6,DEN,61,21.2,29,12.08,376.5,14,8
Mario Hezonja,SF,21,14.8,1.8,5.1,0.355,0.7,2.2,0.299,1.1,2.9,0.398,0.6,0.8,0.8,0.3,1.9,1,0.5,0.2,0.9,1.1,4.9,ORL,65,14.8,20,3.91,396.5,272,207
Marcus Smart,SG,22,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,2.6,3.2,0.812,1,2.9,4.6,1.6,0.4,2,2.4,10.6,BOS,79,30.4,51,3.58,399.5,1,9
Udonis Haslem,C,36,8.1,0.7,1.4,0.478,0,0.2,0,0.7,1.3,0.55,0.6,0.9,0.6,0.5,1.8,0.4,0.4,0.1,0.5,1.4,1.9,MIA,16,8.1,6,4,401,28.5,18
Denzel Valentine,SG,23,17.1,1.8,5.1,0.354,1.3,3.6,0.351,0.5,1.4,0.363,0.2,0.3,0.778,0.2,2.5,1.1,0.5,0.1,0.9,1.5,5.1,CHI,57,17.1,28,2.09,403,23,24
Jamal Murray,SG,19,21.5,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,1.3,1.5,0.883,0.5,2.1,2.1,0.6,0.3,1.4,1.5,9.9,DEN,82,21.5,40,3.21,411,0,62.5
Brandon Rush,SG,31,21.9,1.5,4,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.3,0.4,0.722,0.3,1.8,1,0.5,0.5,0.6,0.9,4.2,MIN,47,21.9,15,3.5,412.5,14,1.5
Bradley Beal,SG,23,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10,0.538,3.7,4.4,0.825,0.7,2.4,3.5,1.1,0.3,2,2.2,23.1,WSH,77,34.9,48,22.12,413.5,55.5,40.5
Luis Scola,PF,36,12.8,2,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.7,1,0.676,1.4,2.4,1,0.4,0.1,0.9,1.8,5.1,BKN,36,12.8,7,5.5,416,16,60
Trevor Ariza,SF,31,34.7,4.1,10,0.409,2.4,6.9,0.344,1.7,3,0.556,1.2,1.6,0.738,0.7,5.1,2.2,1.8,0.3,0.9,1.7,11.7,HOU,80,34.7,53,7.81,417.5,10,15
Trey Burke,PG,24,12.3,2,4.5,0.455,0.5,1.2,0.443,1.5,3.2,0.459,0.4,0.5,0.759,0.1,0.7,1.8,0.2,0.1,0.8,0.9,5,WSH,57,12.3,35,3.39,429.5,41,14
Eric Bledsoe,PG,27,33,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11,0.477,5.9,6.9,0.847,0.8,4.1,6.3,1.4,0.5,3.4,2.5,21.1,PHX,66,33,22,14,434.5,9,30.5
Paul Millsap,PF,31,34,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,4.5,5.9,0.768,1.6,6.1,3.7,1.3,0.9,2.3,2.7,18.1,ATL,69,34,40,20.07,436.5,60,32
Jae Crowder,SF,26,32.4,4.6,10,0.463,2.2,5.5,0.398,2.4,4.5,0.54,2.4,3,0.811,0.7,5.1,2.2,1,0.3,1.1,2.2,13.9,BOS,72,32.4,48,6.29,438.5,55,47
Jaylen Brown,SF,20,17.2,2.5,5.4,0.454,0.6,1.7,0.341,1.9,3.7,0.507,1.1,1.6,0.685,0.6,2.2,0.8,0.4,0.2,0.9,1.8,6.6,BOS,78,17.2,50,4.74,441,0,100
Channing Frye,C,33,18.9,3.2,7,0.458,1.9,4.5,0.409,1.4,2.5,0.546,0.9,1,0.851,0.5,3.4,0.6,0.4,0.5,0.7,1.9,9.1,CLE,74,18.9,44,7.81,445,8,4
Terrence Ross,SF,25,25.1,4.2,9.6,0.437,1.8,5,0.363,2.4,4.6,0.518,0.8,1,0.831,0.2,2.4,1.1,1.1,0.4,0.9,1.8,11,ORL/TOR,78,25.1,39,10,446.5,0,0
Nik Stauskas,SG,23,27.4,3.1,7.9,0.396,1.7,4.5,0.368,1.5,3.4,0.433,1.5,1.9,0.813,0.3,2.6,2.4,0.6,0.4,1.6,1.8,9.5,PHI,80,27.4,27,2.99,451,28,11
Willie Cauley-Stein,C,23,18.9,3.4,6.4,0.53,0,0,0,3.4,6.4,0.532,1.3,2,0.669,1.1,3.4,1.1,0.7,0.6,0.9,2,8.1,SAC,75,18.9,29,3.55,456.5,0,17
Kelly Olynyk,C,25,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,1.2,1.6,0.732,1,3.8,2,0.6,0.4,1.3,2.8,9,BOS,75,20.5,49,3.09,457,56.5,16
Tyus Jones,PG,20,12.9,1.3,3,0.414,0.4,1.2,0.356,0.8,1.8,0.454,0.6,0.7,0.767,0.2,1,2.6,0.8,0.1,0.6,0.8,3.5,MIN,60,12.9,23,1.47,472,0,14
